AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00024675         179R   173R   175R    41S    49S    43S   491S   491S   235S   129S   103R   245R
USC00024702          88S    77S    59S    20C    12S     5S    75C   106C    76S    41S    51C    70C
USC00024761          76R    45R    62R     6R     3R     1P    15R    33R    36R    30R    33R    44R
USC00024829          84S   102C    97C    25S    14C     6C   129C    99C    68S    70S    67C    89S
USC00024849          43R    61R    53R    38R    38R    12R    87R   110R    80R    98R    47R    36R
USC00024977          99R   123R    97R    37R    11R     4R    83R   123R    95R    49R    68R    99R
USC00025129          35R    19R    73R    46R    39S    26S   140R   127R   112S    71S    53R    51R
USC00025270          83C    88C   100S    28S    17C     8C    98C    96C    72C    47C    58C    97S
USC00025412         245C   216S   238S   119S    66S    64C   345S   437C   256S   199S   184S   257S
USC00025418          78S    64S    46S    24C    27S    36C   227C   317S   113C    89C    63S    96S
USC00025426          78Q    82Q    67Q    41Q    17Q    15Q    87Q    67Q    55Q    55Q    55Q    64Q
USC00025467         112S   118S   118S    38R    12S     3S   102S   122S    77S    70S    64C   113C
USC00025512         226S   209S   187S    54S    34S    22S   216S   263S   127S   117S   114S   205R
USC00025635         132S   137S   133S    64S    42S    28S   181S   218C   172S   106S    95S   127S
USC00025665          24R    21R    34R    42R    41R     9R    53R    86R    76R    73R    43R    21R
USC00025700         188R   170R   187R    53R    24R     6R   148R   162R    98R    85R   100R   172R
USC00025780         303R   272R   238R   136R    52R    31R   213R   295R   247R   160R   184R   225R
USC00025825         303Q   266Q   215Q    71Q    44Q    25Q   210Q   275Q   218Q   144Q   161Q   209Q
USC00025908         105R   111R    94R    37R    23R    38R   277R   294R   128R   101R    74R   130R
USC00025924         125S    97S    87S    55S    27S    58S   414S   443S   160S   136S    60S   143S
USC00026037         367R   371R   353S   207R    79S    35S   227S   300R   246S   203S   227R   297S
USC00026119         243S   243S   220S    90S    50S    34S   351S   415S   195S   142S   143S   221S
USC00026132          98S    87C    89C    32S     5S    10C   141S   261S    78S    63S    45S   116R
USC00026180          69R    53S    56S    55S    41S    11S    57S    86S    70S   101S    46S    38S
USC00026190          94R    72S    85S    48S    47S    30S   130S   188S   135S   103S    75S    76R
USC00026194          87Q    70Q    75Q    21Q    11Q     4Q    78Q   130Q    72Q    35Q    50Q    77Q
USC00026250         101R    68S    56S    15C     8R     1S    26S    64S    48R    28S    37S    57R
USC00026282         134C   117S    97C    58C    26C    44S   448C   427S   153C   113C    82S   146S
USC00026328          94R   103R    90R    57R    32R    17R   119R   140R    82R    59R    51R    71R
USC00026353          89R    84R    54R    28R    31R    59R   295R   303R   139R    95R    62R    94R
USC00026468          62R    64C    68S    47S    36C    33S   183S   178S   129C    94S    70S    82R
USC00026471          94S    98S    94S    61S    37C    19S    83S   162S   100S    99S    76S    83S
USC00026513         109R   120R    95R    39R    22R    16R   120R   198R    70R    69R    69R   114R
USC00026597         160R   161R   152R    77R    70R    66R   317R   378R   205R   181R   155R   176R
USC00026601         244C   226C   231S   116C    75S    68S   324S   410S   235C   190C   182C   262S
USC00026603         157Q   147Q   162Q    66Q    22Q     8Q   113Q   143Q    96Q   103Q    91Q   156Q
USC00026616         118R   136S   105R    74S    43S    23S    96R   137S    97S   115S    69S    82R
USC00026653         237R   215R   218R    91R    61S    30S   294S   353S   197S   147S   167R   200R
USC00026716         151S   127S    98S    60S    52S   104S   396S   413S   221R   157S   137S   197S
USC00026796         159S   179S   169S    78S    49C    30C   271C   309C   195S   102S   108S   146S
USC00026840         245R   213R   192S    71S    46S    13S   148S   208S   171R   134S   156S   206R
USC00026865          58R    64R    44R    14R    13R     3R    38R    79R    67R    31R    29R    58R
USC00027036         136S   133S   112S    45S    36S    22S   304S   252S   135S   117S    74S   134S
USC00027281         221C   193S   205S    56S    42C     8S   157S   195C   133S   112S   128S   198S
USC00027334         137S   122S    96S    43S    49S   106S   457S   402S   154S   134S   115S   180S
USC00027370          81R    92R    92R    29R    13S     2R   104R   140R    62R    52R    56R   106R
USC00027390          76S    75C    62C    29S    25C    29S   150C   191C   102C    87S    54S    87C
USC00027435          62R    52S    52S    40S    41S    32S   185S   229S   125S   102S    63S    67R
USC00027462         100R    84R    48R    26R     4R     1R    77R    99R    71R    36R    25R    70R
USC00027480         199R   177S   145R    46R    27R    13R   153R   233R   127R    97R    97R   174S
USC00027488          86R    67R    84R    60R    52S    23C   133R   167R   105R   106R    94R    63R
USC00027530         119S   126S    99S    40S    39C    25S   255S   304S   126C    90S    69S   111S
USC00027560          87R    85R    54R    30R    16R    49R   199R   196R   108R    98R    71R   112R
USC00027593         190R   155R   138S    78R    39S    38S   516R   444R   232S   159R   105R   203R
USC00027619         125S   131R   105S    57S    18S    36S   341S   332S   185S    90S    64R   192S
USC00027622         133R   160S   147R    65S    23S    34S   365S   398S   128S   108S    77R   191R
USC00027625         128Q   136Q   129Q    50Q    25Q    39Q   373Q   414Q   171Q   110Q    73Q   162Q
USC00027708         207S   203S   223S   109S    58S    27C   153S   213S   201S   152S   133S   171S
USC00027716         112S   114S   108S    55C    34S    31S   183S   218C   137S   111C    87S    89S
USC00027855         117S   108S   110C    69S    59C    44S   238S   335S   159C   142S   132S   151S
USC00027880          98R    70R    52S    41S    30S    51S   311S   382S   145S    93S    44S   103S
USC00028012          77S    73S    80S    45S    39C    31S   217C   228C   148C    96C    81C    97S
USC00028018          78R    56R    81R    35R    39R    31R   168R   267R   139R    85R    72R    70R
USC00028112          94S   101S   113S    32S    11S     4R    88R    98R    75R    65R    67R    94R
USC00028162          52S    44S    42S    36S    47S    52S   246R   305S   157C    97S    52S    58S
USC00028214         181S   150S   173S    52S    23S     6S   124S   169S   101S    88S   106S   161S
USC00028329         160R   109S   115S    82S    63S    48S   243S   315C   205S   113S   123S   148R
USC00028348         218R   233R   213R    63R    35R    23R   198R   291R   158R    89R   143R   206R
USC00028349         309R   341R   248R    71R    46R    23R   259R   302R   199R   132R   193R   268R
USC00028396          46S    53S    42S    15S     9S     2S    45S    62C    36S    21C    33S    46S
USC00028468          76R    51R    71R    62R    58S    19R   100R   133R    75R    99R    54R    47R
USC00028499         108S   116S   111S    28S    14S     3S   106S   136S    68S    64S    69S   110S
USC00028516          72R    81R    64R    22R    19R     4R    73R    63R    37R    40R    49R    44R
USC00028598         129S   125S   107S    33S    13S     9C   106C   118S    73S    57S    73S   103S
USC00028619         101S    77C    73S    32S    28S    61C   298S   317S   160S    98C    64S   105S
USC00028641          99R    87R    65R    28R     7R     4P    58R   110R    34R    37R    47R    84R
USC00028650         413S   342R   322R   144R    86R    34S   340R   481S   258S   203S   244S   340R
USC00028792          67R    47R    53R    46R    41R    17R    64R    84R   113R    66R    46R    30R
USC00028795         101R   100S    93S    34R    24S    17R   210S   247R   133S    86S    58S   113R
USC00028796         108S   104S    82S    38S    17C    19C   213S   234C   106S    84S    70S   126S
USC00028800         126R   126R   122R    34R    30R    26R   229R   274R   132R    91R    76R   149R
USC00028815          97S    93S    77S    36S    17S    21S   234S   224R   118S    86S    62S    97S
USC00028817         100S    98S    85S    37S    19S    20S   169S   243S   113S    80S    61S   105S
USC00028865         127R   101R    94R    39S    23S    43R   414R   356R   166R   116S    65R   112R
USC00028904         116S   111C   108C    59S    35C    22S   169C   202S   152S   102S    79C   116S
USC00028998         106R   115R   117R    36R    40R    23R   281R   264R   134R   110R    73R   103R
USC00029114          69S    55R    64R    39R    43S    14S    60R    84R    61S    93R    54S    45R
USC00029156         146R   164R   163R   107S    56S    37C   251S   339S   203S   119S   140S   131R
USC00029158         144C   183S   130S    63C    38S    32C   169S   269S   150C   106C   114C   126S
USC00029166         184S   229S   175C    63S    34C    29S   189S   267C   170S    96S   124S   163S
USC00029271         232R   168R   176R    80R    38R    39R   257R   382R   181R   171R   133R   150R
USC00029287         132S   154S   122C    41S    21S    11S   139S   211S   122S    64S    90S   108S
USC00029309         128R   161R   119R    31S    15S     8S    52R   108R    73S    73S    79R    84S
USC00029334         109S    93S    68S    33S    39S    46S   261S   253S   118C   116C    71S   125C
USC00029359         215S   248S   217S   109S    62S    42S   284C   341C   182C   160S   167C   205S
USC00029376          70R    91R    66S    22S    16S     8S    34R    44R    37S    55R    35R    70R
USC00029410          78R    62R    74R    66R    44R    31R   168R   160R    97R    99R   102R    94R
USC00029464         129Q   146Q   124Q    41Q    14Q     9Q   105Q   155Q    93Q    67Q    80Q   102Q
USC00029542          61R    47S    52S    49S    38S    21S   123S   152C   102S    63S    61S    72R
USC00029562         125S    83S    57S    39C    28C    72C   357S   379S   166C   117C    80S   126R
USC00029634         104C   128C   107C    33C    10C     4C    92C   120C    82C    61C    68C   105C
USC00029645         107S   121S    97S    31S    14S     4S    59S    85S    66S    56S    52S    61S
USC00029652          38R    36R    32R    12R     6R     6R    49R    38R    45R    18R    16R    72R
USC00029656          38R    36R    34R    12R    11R     1P    24R    40R    26R    23R    14R   100R
USC00030006         291S   309R   431S   420C   576C   424C   377S   275C   413C   426C   487S   369S
USC00030064         342S   330S   399S   465S   490C   294S   343C   260S   321S   397R   454S   432S
USC00030130         373S   444C   524S   515C   535S   441S   405S   306C   432C   544S   578C   561S
USC00030150         393S   462S   515S   502S   655S   457S   492S   254S   387S   584S   549S   583S
USC00030220         385S   434S   489S   462R   642S   393S   437S   285S   354C   535S   516S   537S
USC00030234         500S   529S   446S   473S   473S   377S   352S   239S   306S   424S   540S   596S
USC00030240         470R   479S   516S   455S   525R   352R   321S   220S   270S   498S   492S   591S
USC00030286         352C   394C   518C   427C   552C   419C   348C   260S   394S   506S   509S   526S
USC00030300         406S   443S   543S   501S   683S   483S   465S   325S   449S   575S   579S   596S
USC00030326         363S   366S   478S   503S   519S   364S   343C   234C   320S   420S   481S   536S
USC00030458         330S   342S   437C   459C   480C   335S   365C   295C   365S   430C   504C   433S
USC00030460         340S   333S   425S   468S   495S   355S   362S   304S   372S   432S   506S   475S
USC00030586         261S   265S   430R   427R   572R   479R   333R   335R   471R   359R   436R   341R
USC00030616         251R   268S   406S   426S   522C   412C   349S   375S   439C   371C   404S   340S
USC00030664         406S   451S   552S   605S   708S   517S   508S   326S   528S   624S   623S   604S
USC00030746         398S   396C   454C   498C   519C   299C   440C   276C   372S   460S   535C   499S
USC00030764         376R   437R   517S   503S   582S   444S   463S   272S   405S   533R   567R   541R
USC00030798         325S   338C   455C   439C   545C   368C   335C   293C   380C   424C   491C   447C
USC00030806         367S   416S   454S   491S   523C   390C   402C   261S   288C   408C   470S   507S
USC00030814         354R   395R   457R   497R   548R   446R   415R   305R   411R   530R   528R   521R
USC00030832         364S   333S   431S   433C   571C   417C   342S   286S   410C   475S   483S   434S
USC00030936         367S   398S   450S   493S   553S   338S   335S   222S   278S   438S   472S   500S
USC00031102         341S   380S   477S   475S   553R   350S   347S   297S   328S   467S   570S   484S
USC00031132         319S   334S   450S   467S   485C   359S   360C   300S   410S   418S   451S   422R
USC00031140         395R   445R   443R   414R   457R   459R   336R   285R   320R   443R   446R   537R
USC00031152         414S   463C   486S   434S   494S   431C   393S   269C   348S   523S   478S   535C
USC00031191         449Q   497Q   508Q   508Q   533Q   435Q   355Q   307Q   323Q   517Q   491Q   567Q
USC00031310         375R   394R   464R   542R   519R   401R   381R   290R   379R   462R   522R   468R
USC00031328         337Q   352Q   460Q   477Q   560Q   398Q   351Q   295Q   331Q   467Q   527Q   495Q
